ID,time,nobs
1,2,5
1,2,5
2,1,10
3,2,5
5,1,2
6,2,2
7,2,5
7,2,5
8,2,4
9,2,5
9,2,5
11,1,3
12,1,3
13,1,3
14,1,3
15,1,7
16,1,3
16,1,3
17,1,3
18,1,3
19,1,3
20,1,3
21,1,3
21,1,3
22,1,3
23,1,3
23,1,3
24,1,3
24,1,3
25,1,3
26,1,3
27,1,3
28,1,10
29,1,10
30,1,10
31,1,10
31,1,10
32,1,10
32,1,10
33,1,10
34,1,10
35,1,10
36,1,10
37,1,10
38,1,10
38,1,10
39,1,10
40,1,10
40,1,10
41,1,10
42,1,10
43,1,10
43,1,10
44,1,10
45,1,10
46,1,7
47,1,7
47,1,7
48,1,7
49,1,7
50,1,7
51,1,7
52,1,7
53,1,7
54,1,7
55,1,7
55,1,7
55,1,7
56,1,7
57,1,7
58,1,7
58,1,7
59,1,10
60,1,10
61,1,10
62,1,10
63,1,10
64,1,3
65,1,10
66,1,10
67,1,10
67,1,10
68,1,10
68,1,10
69,1,10
70,1,10
71,1,10
72,1,10
73,1,10
73,1,10
74,1,10
75,1,7
76,1,7
77,1,10
78,1,10
79,1,10
80,1,10
81,1,10
82,1,10
83,1,10
84,1,10
85,1,10
86,1,10
87,1,10
88,1,10
89,1,10
90,1,10
90,1,10
91,1,10
91,1,10
92,1,10
92,1,10
93,1,10
94,1,10
95,1,10
95,1,10
96,1,10
97,1,10
98,10,10
99,1,10
99,1,10
100,1,10
101,1,10
102,1,10
102,1,10
103,1,10
104,1,10
104,1,10
105,1,10
106,1,10
107,1,10
108,1,10
109,1,10
110,1,10
111,1,10
112,1,10
113,1,10
114,1,10
115,1,10
115,1,10
116,1,10
117,1,10
118,1,10
119,1,10
120,1,10
121,1,10
121,1,10
122,1,10
122,1,10
123,1,10
124,1,10
125,1,10
126,1,10
127,1,10
128,1,10
129,1,10
130,1,10
130,1,10
131,1,10
132,1,10
133,1,10
134,1,10
135,1,10
136,1,2
137,1,2
138,1,2
139,1,2
140,1,2
141,1,2
142,1,2
143,1,2
143,1,2
144,1,2
144,1,2
145,1,2
146,1,2
147,1,2
148,1,2
149,1,2
149,1,2
150,1,2
150,1,2
151,1,2
152,1,2
153,1,2
154,1,2
155,1,2
156,1,2
157,1,2
158,1,2
158,1,2
159,1,2
161,1,2
162,1,2
163,1,2
164,1,2
165,1,2
166,2,2
167,1,3
168,1,3
168,1,3
169,1,3
170,1,3
171,1,3
171,1,3
172,1,3
172,1,3
173,1,3
173,1,3
174,1,3
175,1,3
176,1,3
176,1,3
177,1,3
178,1,3
179,1,3
180,1,3
181,1,3
182,1,3
183,1,3
184,1,3
185,1,3
186,1,3
187,1,3
188,1,3
189,1,1
189,1,1
190,1,1
190,1,1
191,1,1
192,1,1
193,1,1
194,1,1
195,1,2
195,1,2
196,1,9
196,1,9
196,1,9
197,1,2
197,1,2
197,1,2
198,1,2
198,1,2
199,1,2
200,1,2
200,1,2
201,1,2
201,1,2
202,1,2
203,1,2
203,1,2
204,1,2
205,1,2
205,1,2
206,1,2
207,1,2
208,1,2
209,1,2
210,1,2
211,1,2
211,1,2
212,1,2
214,1,2
215,1,2
216,1,2
216,1,2
217,1,2
218,1,2
219,1,2
220,1,2
220,1,2
221,1,2
221,1,2
222,1,2
223,1,5
224,1,5
224,1,5
225,1,5
225,1,5
225,1,5
226,1,5
227,1,5
228,1,5
229,1,5
229,1,5
230,1,5
231,1,5
232,1,5
233,1,5
233,1,5
234,1,5
235,1,5
236,1,5
237,1,5
238,2,5
239,2,5
240,2,5
241,2,5
242,2,5
243,2,5
244,2,5
245,2,5
246,2,5
247,2,5
248,2,6
249,2,6
250,2,6
251,2,6
252,2,6
252,2,6
253,2,6
254,2,6
255,1,6
255,1,6
256,2,2
257,2,2
258,2,2
259,2,2
259,2,2
259,2,2
260,2,2
260,2,2
261,2,2
261,2,2
262,2,2
263,2,2
263,2,2
264,2,2
264,2,2
265,2,2
266,2,2
267,2,2
268,2,2
269,2,2
269,2,2
270,2,2
271,2,2
272,2,2
272,2,2
273,2,2
274,2,2
275,2,2
276,2,2
277,2,2
278,2,2
279,2,2
280,2,2
281,2,2
281,2,2
282,2,2
283,2,2
283,2,2
284,2,2
285,2,2
285,2,2
286,2,2
286,2,2
287,2,2
287,2,2
288,2,2
289,2,2
290,2,2
291,2,2
292,2,2
292,2,2
293,2,2
294,2,2
295,2,2
296,2,2
297,2,2
298,2,2
299,2,4
300,2,4
301,2,4
302,2,4
303,2,4
304,2,4
305,2,4
306,2,4
307,2,4
308,2,4
309,2,4
310,2,4
311,2,4
312,2,4
313,2,4
314,2,4
315,2,4
316,2,4
317,2,4
318,2,4
319,2,4
320,2,4
321,2,4
322,2,4
323,2,4
324,2,4
325,2,4
326,2,4
327,2,3
327,2,3
328,2,3
329,2,3
330,2,3
331,2,3
332,2,3
332,2,3
333,2,3
334,2,3
335,2,3
336,2,3
336,2,3
337,2,3
337,2,3
337,2,3
338,2,3
339,2,3
340,2,2
341,2,2
341,2,2
342,2,2
343,2,2
344,2,2
345,2,2
346,2,2
347,2,2
348,2,2
349,2,2
349,2,2
350,2,2
350,2,2
351,2,2
351,2,2
352,2,2
353,2,2
354,2,2
355,2,2
356,2,2
357,2,2
358,2,2
359,2,2
360,2,2
361,2,1
362,2,1
363,2,1
364,2,1
364,2,1
365,2,1
366,2,1
367,2,1
367,2,1
368,2,1
369,2,1
370,2,1
371,2,1
371,2,1
372,2,1
373,2,8
374,2,8
375,2,8
376,2,8
377,2,8
378,2,8
379,2,8
380,2,8
380,2,8
381,2,8
382,2,8
383,2,8
384,2,8
385,2,8
386,2,8
387,2,8
388,2,8
389,2,1
390,2,1
390,2,1
391,2,1
391,2,1
392,2,1
393,2,1
394,2,1
395,2,1
396,2,1
397,2,1
398,2,1
398,2,1
399,2,1
400,2,1
400,2,1
401,2,1
401,2,1
402,2,10
403,2,10
404,2,10
405,2,10
406,2,10
407,2,10
408,2,10
409,2,10
410,2,10
411,2,10
412,2,10
413,2,10
414,2,3
415,2,3
416,2,3
417,2,3
418,2,3
419,2,3
420,2,3
421,2,3
422,2,3
423,2,5
425,2,5
426,2,5
427,2,5
427,2,5
429,2,5
429,2,5
430,2,5
431,2,5
432,2,5
433,2,5
434,2,5
435,2,5
436,2,5
437,2,5
438,2,5
439,2,5
439,2,5
440,2,5
440,2,5
441,2,5
442,2,5
443,2,5
444,2,1
444,2,1
445,2,1
445,2,1
446,2,1
446,2,1
446,2,1
447,2,2
448,2,2
448,2,2
449,2,2
449,2,2
450,2,2
451,2,2
451,2,2
452,2,2
452,2,2
453,2,2
454,2,2
454,2,2
454,2,2
455,2,2
456,2,3
457,2,3
458,2,3
459,2,3
460,2,3
460,2,3
461,2,3
462,2,3
462,2,3
463,2,3
463,2,3
464,2,3
464,2,3
464,2,3
465,2,3
466,2,3
467,2,3
468,9,9
469,10,9
469,10,9
470,9,9
472,10,10
473,8,10
474,8,10
475,9,9
476,9,2
477,9,2
477,9,2
478,9,10
479,9,10
480,9,10
481,10,10
482,10,10
483,10,10
484,10,6
485,10,6
486,10,6
487,10,3
488,10,3
489,10,3
490,10,6
491,10,6
492,10,6
493,10,2
494,10,2
495,10,2
496,10,10
497,10,10
498,12,9
499,12,9
500,12,9
501,12,9
502,12,9
502,12,9
503,12,9
503,12,9
504,12,10
505,12,10
505,12,10
506,12,9
507,12,7
508,12,7
508,12,7
509,12,7
509,12,7
510,12,8
511,12,8
511,12,8
512,12,8
512,12,8
513,12,8
513,12,8
514,10,10
514,10,10
515,12,4
516,12,4
517,12,4
518,12,4
518,12,4
519,12,4
520,12,6
521,12,6
522,12,2
523,12,2
524,12,2
524,12,2
525,12,9
526,12,9
526,12,9
527,12,9
527,12,9
528,12,6
528,12,6
529,12,4
529,12,4
530,14,3
531,14,3
531,14,3
532,14,3
532,14,3
533,8,6
533,8,6
534,8,6
535,8,6
536,8,8
537,8,8
538,8,2
538,8,2
539,8,10
540,8,3
541,8,9
542,8,9
542,8,9
543,8,9
543,8,9
544,14,3
545,14,3
545,14,3
546,14,3
553,15,2
554,15,2
555,15,2
555,15,2
556,15,2
557,15,2
558,15,2
559,15,10
560,15,10
560,15,10
561,15,10
562,15,10
563,15,10
564,15,10
565,14,7
566,14,7
567,14,7
567,14,7
567,14,7
568,14,7
568,14,7
568,14,7
569,14,7
569,14,7
570,14,7
570,14,7
570,14,7
571,14,7
572,14,7
572,14,7
573,14,7
574,14,3
575,14,3
575,14,3
578,14,6
579,14,6
579,14,6
580,12,6
581,14,6
581,14,6
582,14,6
582,14,6
583,14,6
584,14,8
585,14,8
586,14,8
586,14,8
587,14,9
588,14,9
589,14,9
590,14,9
591,14,9
592,14,9
593,15,9
593,15,9
593,15,9
594,15,9
595,15,9
595,15,9
596,15,9
597,15,9
598,15,9
599,15,10
600,15,10
600,15,10
600,15,10
601,15,10
601,15,10
601,15,10
602,15,7
602,15,7
603,15,7
604,15,7
605,15,7
606,15,6
606,15,6
607,15,6
607,15,6
608,15,6
609,15,3
610,15,3
610,15,3
611,15,3
612,15,5
613,15,5
614,15,5
615,15,5
616,15,5
618,15,9
619,15,9
620,15,9
621,15,3
622,15,3
622,15,3
623,15,3
624,15,3
624,15,3
625,15,3
625,15,3
626,15,3
627,17,3
628,17,3
629,17,3
629,17,3
630,17,3
631,17,3
632,17,3
633,17,3
633,17,3
634,17,3
634,17,3
635,17,3
636,17,2
637,17,2
638,17,2
639,17,6
639,17,6
640,17,6
641,17,6
642,17,6
642,17,6
643,17,6
643,17,6
644,17,6
645,17,2
646,17,2
647,17,2
647,17,2
648,17,2
649,17,2
651,17,9
651,17,9
652,17,9
653,17,9
654,17,5
655,17,5
657,17,5
657,17,5
659,17,5
660,13,9
661,13,9
662,13,9
663,13,9
664,13,9
665,13,4
667,13,4
668,13,4
669,13,4
670,13,4
671,13,10
672,13,10
673,13,10
674,13,10
675,13,10
676,13,10
676,13,10
677,13,7
677,13,7
677,13,7
678,13,7
679,13,7
679,13,7
680,13,7
682,13,7
682,13,7
683,13,6
684,13,6
685,13,6
686,13,6
686,13,6
687,13,9
688,13,9
689,13,9
690,13,3
691,13,3
691,13,3
691,13,3
692,13,3
693,13,6
693,13,6
694,13,6
695,13,6
696,13,6
696,13,6
697,13,6
698,13,6
699,13,9
700,9,9
701,10,9
701,10,9
702,9,9
704,10,10
705,8,10
706,8,10
707,9,9
708,9,2
709,9,2
709,9,2
710,9,10
711,9,10
712,9,10
713,10,10
714,10,10
715,10,10
716,10,6
717,10,6
718,10,6
719,10,3
720,10,3
721,10,3
722,10,6
723,10,6
724,10,6
725,10,2
726,10,2
727,10,2
728,10,10
729,10,10
730,12,9
731,12,9
732,12,9
733,12,9
734,12,9
734,12,9
735,12,9
735,12,9
736,12,10
737,12,10
737,12,10
738,12,9
739,12,7
740,12,7
740,12,7
741,12,7
741,12,7
742,12,8
743,12,8
743,12,8
744,12,8
744,12,8
745,12,8
745,12,8
746,10,10
746,10,10
747,12,4
748,12,4
749,12,4
750,12,4
750,12,4
751,12,4
752,12,6
753,12,6
754,12,2
755,12,2
756,12,2
756,12,2
757,12,9
758,12,9
758,12,9
759,12,9
759,12,9
760,12,6
760,12,6
761,12,4
761,12,4
762,14,3
763,14,3
763,14,3
764,14,3
764,14,3
765,8,6
765,8,6
766,8,6
767,8,6
768,8,8
769,8,8
770,8,2
770,8,2
771,8,10
772,8,3
773,8,9
774,8,9
774,8,9
775,8,9
775,8,9
776,14,3
777,14,3
777,14,3
778,14,3
785,15,2
786,15,2
787,15,2
787,15,2
788,15,2
789,15,2
790,15,2
791,15,10
792,15,10
792,15,10
793,15,10
794,15,10
795,15,10
796,15,10
797,14,7
798,14,7
799,14,7
799,14,7
799,14,7
800,14,7
800,14,7
800,14,7
801,14,7
801,14,7
802,14,7
802,14,7
802,14,7
803,14,7
804,14,7
804,14,7
805,14,7
806,14,3
807,14,3
807,14,3
810,14,6
811,14,6
811,14,6
812,12,6
813,14,6
813,14,6
814,14,6
814,14,6
815,14,6
816,14,8
817,14,8
818,14,8
818,14,8
819,14,9
820,14,9
821,14,9
822,14,9
823,14,9
824,14,9
825,15,9
825,15,9
825,15,9
826,15,9
827,15,9
827,15,9
828,15,9
829,15,9
830,15,9
831,15,10
832,15,10
832,15,10
832,15,10
833,15,10
833,15,10
833,15,10
834,15,7
834,15,7
835,15,7
836,15,7
837,15,7
838,15,6
838,15,6
839,15,6
839,15,6
840,15,6
841,15,3
842,15,3
842,15,3
843,15,3
844,15,5
845,15,5
846,15,5
847,15,5
848,15,5
850,15,9
851,15,9
852,15,9
853,15,3
854,15,3
854,15,3
855,15,3
856,15,3
856,15,3
857,15,3
857,15,3
858,15,3
859,17,3
860,17,3
861,17,3
861,17,3
862,17,3
863,17,3
864,17,3
867,19,7
868,19,1
868,19,1
870,18,6
870,18,6
871,18,6
872,17,3
872,17,3
873,17,3
873,17,3
874,17,3
875,17,2
876,17,2
877,18,6
878,18,6
879,18,4
880,17,2
881,17,6
881,17,6
882,17,6
883,17,6
884,17,6
884,17,6
885,17,6
885,17,6
886,17,6
887,17,2
888,17,2
889,17,2
889,17,2
890,17,2
891,17,2
893,17,9
893,17,9
894,17,9
896,18,4
897,18,2
898,18,2
899,19,1
899,19,1
900,19,1
901,19,9
902,19,9
903,19,9
904,19,2
904,19,2
905,19,2
906,19,2
907,20,2
908,20,2
909,19,2
909,19,2
910,20,8
911,20,8
912,20,10
913,20,8
913,20,8
914,20,10
914,20,10
915,20,10
916,20,10
917,20,10
918,20,10
918,20,10
919,20,6
920,20,6
921,20,6
921,20,6
922,20,6
923,20,6
923,20,6
924,20,6
925,20,2
925,20,2
925,20,2
926,17,9
927,17,5
928,17,5
930,17,5
930,17,5
932,17,5
934,18,2
935,18,6
936,18,6
936,18,6
937,18,6
937,18,6
938,18,4
939,18,4
940,18,4
940,18,4
941,18,4
942,18,4
943,18,4
943,18,4
944,18,1
944,18,1
944,18,1
945,18,1
946,18,1
947,18,2
948,18,2
949,18,2
949,18,2
950,18,2
950,18,2
950,18,2
951,18,2
952,18,2
952,18,2
953,18,9
954,18,9
954,18,9
955,18,9
956,18,9
957,18,9
958,18,9
958,18,9
959,19,5
960,19,5
962,19,5
963,19,5
964,19,1
965,19,5
966,19,1
966,19,1
967,19,1
968,19,4
969,19,4
969,19,4
970,19,8
971,19,8
971,19,8
972,19,8
973,18,8
974,19,4
975,19,4
976,19,4
977,19,4
977,19,4
978,19,8
978,19,8
979,19,8
979,19,8
980,19,2
980,19,2
981,19,2
981,19,2
981,19,2
982,19,2
983,19,7
984,19,7
984,19,7
985,19,7
989,20,2
989,20,2
990,20,2
991,20,2
991,20,2
992,20,2
992,20,2
993,20,2
993,20,2